ID,Name,Cuisine,Delivery_rating,Dining_rating,Overall_rating,Area,Offer,Votes,Featured
2301638,Rigour Fast Food,"Fast Food, Chinese, North Indian, Rolls",4.0,3.5,3.8,"Fazalganj, Kanpur",,"1,645",NO
18694361,Shri Ram Anurag Restaurant,"North Indian, Chinese, Fast Food, Street Food, Beverages",3.9,3.8,3.9,"Swaroop Nagar, Kanpur",,"3,290",NO
19777374,The Yummy Tube,"Beverages, Fast Food",4.1,3.7,3.9,"Saket Nagar, Kanpur",,236,NO
18222646,The Salt - Hotel Vijay Intercontinental,"North Indian, Chinese, Italian, Oriental, Mughlai, Desserts, Beverages",3.7,3.7,3.7,"Tilak Nagar, Kanpur",Pro - Get 20% off,194,NO
2301504,Biryani House Company,"North Indian, Biryani, Mughlai",3.7,3.7,3.7,"Geeta Nagar, Kanpur",,"3,915",NO
2300732,Anantam Restrau,"Chinese, North Indian",3.6,3.9,3.8,"Sharda Nagar, Kanpur",,13.1K,NO
2300979,Mocha,"Fast Food, Salad, Continental, Italian, North Indian, Juices, Desserts, Beverages",4.2,4.7,4.5,"Mall Road, Kanpur",Pro - Get 15% off,"3,136",NO
18379190,Offline Cafe,"Cafe, North Indian, Fast Food, Shake",3.5,4.1,3.8,"Tilak Nagar, Kanpur",Pro - Get 15% off,"2,900",NO
19882655,The Forest Grill - Cafe And Kitchen,"Cafe, Chinese, Fast Food, Mughlai, North Indian, Italian, Beverages, Desserts",3.5,3.7,3.6,"Arya Nagar, Kanpur",Pro - Get 20% off,193,NO
2301172,The Chocolate Room,"Cafe, Desserts, Italian, Mexican, Fast Food, Beverages, Coffee, Bakery",3.9,3.9,3.9,"Swaroop Nagar, Kanpur",Pro - Get 20% off,"9,772",NO
19139586,Bombay Darbar Biryani,"Biryani, North Indian",3.5,4.0,3.8,"Rakhial, Ahmedabad",Pro - Get 20% off,"8,513",NO
20180278,Vadilal Ice Creams,"Ice Cream, Desserts",Newly Opened,Newly Opened,4.0,"Paldi, Ahmedabad",,19,NO
19671842,Das Khaman,"Street Food, Gujarati",3.8,4.2,4.0,"Gota, Ahmedabad",,463,NO
18396236,Choice Snack Bar,"Pizza, Sandwich, Fast Food, Desserts, Street Food, Beverages, Shake",4.1,3.6,3.9,"Prahlad Nagar, Ahmedabad",,"6,593",NO
19240549,Havmor Ice Cream,"Ice Cream, Desserts, Shake, Bakery",4.2,,4.2,"Shahibagh, Ahmedabad",,490,NO
19959428,London Yard Pizza,"Italian, Beverages, Desserts",3.9,3.4,3.7,"Ghatlodia, Ahmedabad",,65,NO
18316049,Spice Affair - Hotel German Palace,"North Indian, Continental, Beverages",3.5,3.9,3.7,"Airport Gandhinagar Highway, Gandhinagar",Pro - Get 20% off,682,NO
18607123,La Pino'z Pizza,"Pizza, Italian, Pasta, Fast Food",4.2,4.3,4.3,"Capstone, Ellisbridge, Ahmedabad",,"9,389",NO
112090,Dadi Sa Restaurant,"North Indian, Chinese, Fast Food, Beverages",3.9,3.9,3.9,"Sector 16, Gandhinagar",,"5,198",NO
113794,Jay Bhavani Vadapav,"Fast Food, Street Food, Sandwich, Pizza, Shake",3.7,3.3,3.5,"Hansol, Ahmedabad",,660,NO
19290125,The Blue Oven,"Fast Food, Italian, Beverages, Desserts",4.1,3.7,3.9,"Infocity, Gandhinagar",,495,NO
20090906,Puffizza,"Pizza, Fast Food",4.0,3.7,3.9,"Sola, Ahmedabad",,22,NO
19823848,Chow Chow Asian Kitchen,"Asian, Chinese, Thai, Shake",4.0,3.9,4.0,"Satellite, Ahmedabad",,372,NO
19723289,SS King,South Indian,4.1,3.1,3.6,"Mani Nagar, Ahmedabad",,210,NO
113198,Tummy Fillers,"Fast Food, Burger, Sandwich, Pizza, Wraps, Beverages, Italian, Mexican",4.0,3.7,3.9,"Ambavadi, Ahmedabad",,"4,794",NO
19904078,Bhullar’s Butter Chicken Co.,"North Indian, Beverages, Shake",4.0,3.1,3.6,"Satellite, Ahmedabad",,155,NO
19713567,Shree Marutinandan Kathiyawadi Restaurant,"Kathiyawadi, Gujarati, Chinese, Continental, Fast Food, Beverages, Rajasthani, North Indian",3.5,,3.5,"Airport Gandhinagar Highway, Gandhinagar",,131,NO
18231913,Silver Leaf,"North Indian, Mughlai, Chinese, Parsi",3.9,3.9,3.9,"Acropolis Mall, Thaltej, Ahmedabad",,"1,126",NO
19418117,Jalaram Parotha House - Townhallwala,"North Indian, Gujarati",3.6,,3.6,"Memnagar, Ahmedabad",,485,NO
18989852,New Freeze Land,"Sandwich, Fast Food, Street Food, North Indian, Chinese, Desserts, Beverages",4.2,3.2,3.7,"Sola, Ahmedabad",,"2,551",NO
19327302,Doner & Gyros,"Cafe, Fast Food, Beverages, Wraps, Middle Eastern",4.2,3.8,4.0,"Airport Gandhinagar Highway, Gandhinagar",,579,NO
113150,The Chocolate Room,"Cafe, Beverages, Fast Food, Desserts, Sandwich, , Waffle",3.9,3.7,3.8,"Satellite, Ahmedabad",Pro - Get 30% off,"1,773",NO
